Epoch,Duration(sec),Duration(min),Precision,Recall,mAP50,mAP50-95,F1_Score
1,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000
2,445.34,7.42,0.9984,1.0000,0.9950,0.9950,0.9992
3,407.86,6.80,0.8635,0.3535,0.4444,0.4356,0.5017
4,380.37,6.34,0.0769,0.6162,0.0597,0.0207,0.1368
5,389.56,6.49,0.0504,0.6313,0.0476,0.0439,0.0933
6,469.43,7.82,0.6896,0.8081,0.8894,0.8885,0.7442
7,385.85,6.43,1.0000,0.9944,0.9950,0.9950,0.9972
8,518.15,8.64,0.9981,1.0000,0.9950,0.9950,0.9991
9,466.60,7.78,0.9996,1.0000,0.9950,0.9950,0.9998
10,470.67,7.84,0.9983,1.0000,0.9950,0.9950,0.9992
11,394.26,6.57,0.9992,1.0000,0.9950,0.9950,0.9996
12,533.57,8.89,0.9981,1.0000,0.9950,0.9950,0.9990
13,499.52,8.33,0.9996,1.0000,0.9950,0.9950,0.9998
14,564.87,9.41,0.9980,1.0000,0.9950,0.9950,0.9990
15,396.08,6.60,0.9997,1.0000,0.9950,0.9950,0.9998
16,454.58,7.58,0.9997,1.0000,0.9950,0.9950,0.9998
17,365.45,6.09,0.9996,1.0000,0.9950,0.9950,0.9998
18,472.78,7.88,0.9996,1.0000,0.9950,0.9950,0.9998
19,337.98,5.63,0.9899,1.0000,0.9950,0.9950,0.9949
20,477.93,7.97,0.9997,1.0000,0.9950,0.9950,0.9998
21,329.96,5.50,1.0000,0.8730,0.9102,0.9097,0.9322
22,475.71,7.93,0.9994,1.0000,0.9950,0.9950,0.9997
23,417.87,6.96,0.9993,0.9950,0.9950,0.9950,0.9971
24,537.89,8.96,0.9997,1.0000,0.9950,0.9950,0.9998
25,341.91,5.70,0.9996,1.0000,0.9950,0.9950,0.9998
26,437.44,7.29,0.9995,1.0000,0.9950,0.9950,0.9998
27,420.09,7.00,0.9997,1.0000,0.9950,0.9950,0.9998
28,498.01,8.30,0.9997,1.0000,0.9950,0.9950,0.9998
29,357.20,5.95,0.9997,1.0000,0.9950,0.9950,0.9998
30,418.28,6.97,0.9996,1.0000,0.9950,0.9950,0.9998
31,450.15,7.50,0.9996,1.0000,0.9950,0.9950,0.9998
32,464.23,7.74,0.9922,1.0000,0.9948,0.9948,0.9961
33,379.88,6.33,0.9936,1.0000,0.9950,0.9950,0.9968
34,464.49,7.74,0.9963,1.0000,0.9950,0.9950,0.9982
35,457.96,7.63,0.9990,1.0000,0.9950,0.9950,0.9995
36,395.02,6.58,0.9997,1.0000,0.9950,0.9950,0.9998
37,414.16,6.90,0.9996,1.0000,0.9950,0.9950,0.9998
38,513.77,8.56,0.9997,1.0000,0.9950,0.9950,0.9998
39,369.49,6.16,0.9997,1.0000,0.9950,0.9950,0.9998
40,507.65,8.46,0.9997,1.0000,0.9950,0.9950,0.9998
41,342.86,5.71,0.9995,1.0000,0.9950,0.9950,0.9997
42,416.55,6.94,0.9997,1.0000,0.9950,0.9950,0.9998
43,375.94,6.27,0.9907,1.0000,0.9950,0.9950,0.9953
44,399.93,6.67,0.9995,1.0000,0.9950,0.9950,0.9997
45,388.83,6.48,0.9995,1.0000,0.9950,0.9950,0.9997
46,438.09,7.30,0.9995,1.0000,0.9950,0.9950,0.9998
47,378.83,6.31,0.9978,1.0000,0.9950,0.9950,0.9989
48,518.49,8.64,0.9974,1.0000,0.9950,0.9950,0.9987
49,354.36,5.91,0.9975,1.0000,0.9950,0.9950,0.9988
50,464.44,7.74,0.9981,1.0000,0.9950,0.9950,0.9990
51,433.10,7.22,0.9974,1.0000,0.9950,0.9950,0.9987
52,423.87,7.06,0.9997,1.0000,0.9950,0.9950,0.9998
53,444.24,7.40,0.9997,1.0000,0.9950,0.9950,0.9998
54,514.01,8.57,0.9997,1.0000,0.9950,0.9950,0.9998
55,395.64,6.59,0.9996,1.0000,0.9950,0.9950,0.9998
56,474.39,7.91,0.9997,1.0000,0.9950,0.9950,0.9998
57,326.47,5.44,0.9997,1.0000,0.9950,0.9950,0.9998
58,484.30,8.07,0.9997,1.0000,0.9950,0.9950,0.9998
59,368.76,6.15,0.9997,1.0000,0.9950,0.9950,0.9998
60,471.24,7.85,0.9997,1.0000,0.9950,0.9950,0.9999
61,390.56,6.51,0.9997,1.0000,0.9950,0.9950,0.9999
62,478.07,7.97,0.9997,1.0000,0.9950,0.9950,0.9998
63,398.03,6.63,0.9997,1.0000,0.9950,0.9950,0.9998
64,564.47,9.41,0.9988,1.0000,0.9950,0.9950,0.9994
